Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-08-01,18:58:46,5.065,142.273
2024-08-02,22:44:06,4.862,121.294
2024-08-02,23:20:33,4.3142,74.737
2024-08-03,07:46:58,4.5537,121.805
2024-08-03,20:19:01,52.9329,1174.121
2024-08-03,21:13:08,1.0507,0.0
2024-08-03,21:15:23,1.1374,0.0
2024-08-03,21:17:43,1.522,0.0
2024-08-03,22:47:41,5.159,98.881
2024-08-03,23:34:34,2.6702,50.5
2024-08-04,03:26:54,2.8747,45.949
2024-08-04,09:28:43,27.6702,158.387
2024-08-04,10:27:00,27.6157,163.285
2024-08-04,11:02:21,3.5414,19.528
2024-08-04,13:22:31,3.2099,16.197
2024-08-05,09:02:39,5.4445,133.683
2024-08-05,11:16:10,9.7932,269.188
2024-08-05,12:12:12,16.4293,277.31
2024-08-05,12:32:32,3.8396,70.501
2024-08-05,16:56:24,6.225,98.234
2024-08-05,17:46:35,3.1004,48.873
2024-08-05,19:12:36,25.0118,362.962
2024-08-05,21:50:37,5.4898,149.902
2024-08-06,07:19:18,39.2418,644.434
2024-08-06,11:25:58,9.4849,295.996
2024-08-06,12:25:46,1.182,4.736
2024-08-06,18:10:04,2.2041,44.442
2024-08-06,18:40:03,2.7355,67.36
2024-08-06,19:09:55,2.4901,68.208
2024-08-07,05:24:17,3.1391,85.04
2024-08-07,11:42:03,198.7161,2861.159
2024-08-07,15:01:57,155.2482,771.559
2024-08-07,17:41:27,10.2804,42.715
2024-08-07,17:54:02,9.5196,27.118
2024-08-07,18:08:09,4.7034,15.311
2024-08-07,19:07:26,23.123,327.628
2024-08-07,19:58:14,5.5922,76.829
2024-08-07,20:45:43,5.0135,106.136
2024-08-07,22:06:56,6.4296,166.548
2024-08-07,23:35:49,3.1324,65.245
2024-08-08,00:11:29,2.2423,53.037
2024-08-08,00:21:47,2.3804,56.166
2024-08-08,05:27:28,3.8911,90.92
2024-08-08,06:13:29,2.0477,23.829
2024-08-08,08:47:50,3.4501,2.383
2024-08-08,09:15:55,3.6504,2.973
2024-08-08,09:21:39,1.9583,1.478
2024-08-08,14:14:17,1.1997,0.547
2024-08-08,15:35:44,2.7892,2.414
2024-08-08,18:45:33,2.6638,2.173
2024-08-09,07:57:23,16.4611,275.527
2024-08-09,08:26:44,4.0961,79.525
2024-08-09,08:38:00,3.7121,79.621
2024-08-09,09:26:05,2.3112,54.351
2024-08-09,13:01:16,3.2503,89.662
2024-08-09,17:13:10,2.688,72.649
2024-08-09,18:49:56,2.415,67.619
2024-08-10,09:16:07,39.2277,996.545
2024-08-10,11:03:49,5.8958,167.493
2024-08-10,11:43:24,2.4037,70.206
2024-08-10,20:38:44,5.3328,128.491
2024-08-11,02:50:13,2.3388,61.216
2024-08-11,05:39:40,5.2471,111.668
2024-08-11,14:38:16,4.729,23.609
2024-08-11,17:48:32,1.8618,10.205
2024-08-11,17:52:26,8.866,44.671
2024-08-11,18:04:19,5.4347,25.432
2024-08-11,20:35:43,3.4712,17.15
2024-08-11,20:41:32,1.9369,10.264
2024-08-11,20:45:13,4.1195,20.98
