Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh),Conditions Met
2024-11-01,08:50:51,2.6175,78.657,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,09:24:55,2.2507,66.42,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,12:09:46,3.0045,85.933,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,13:32:09,5.53,168.86,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,14:16:01,1.8939,55.239,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,15:13:51,5.8124,158.929,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,16:28:52,5.8094,153.004,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,16:45:25,2.5695,62.693,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,17:29:53,5.5881,123.43,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,18:16:07,3.0045,59.253,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,18:50:46,7.7457,165.339,"utility_grid_off, pcsv_not_fault, pcsv_on"
2024-11-01,20:36:13,6.8478,112.45,"plc_battery_breaker_closed, utility_grid_on, pcsv_on"
2024-11-01,20:55:51,16.2402,297.384,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-01,21:18:47,5.2591,61.765,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,03:46:17,5.8224,124.021,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,04:39:47,4.1998,103.29,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,08:51:48,2.5572,77.277,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,10:40:24,3.041,72.035,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,12:42:27,3.1777,91.157,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,12:54:11,6.0511,185.409,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,15:17:36,3.2599,73.813,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,15:54:59,2.2439,54.203,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,19:06:30,8.9096,243.26,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,19:24:08,2.8275,77.475,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-02,20:26:22,5.1527,122.593,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-03,05:26:24,3.3055,70.449,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-03,09:27:12,3.4981,5.116,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-11-03,11:00:37,3.6091,2.97,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
