Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh),Conditions Met
2024-10-01,06:20:50,2.3692,45.972,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-01,08:39:42,4.4856,94.632,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-01,15:18:55,2.1169,46.173,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-01,15:41:47,2.3168,61.823,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-01,22:03:27,5.9918,123.192,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-01,22:16:40,3.7945,64.887,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-01,23:07:32,2.1663,25.219,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,03:05:14,2.5453,52.722,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,03:14:04,3.1154,66.198,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,05:43:54,5.1106,111.702,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,10:46:33,5.4504,130.116,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,11:07:17,4.0594,111.42,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,12:14:54,3.7634,98.613,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,13:12:14,8.7136,251.954,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,15:17:02,13.9548,393.432,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,16:09:10,6.3454,181.508,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,16:25:14,3.7343,104.291,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,16:33:52,3.7547,102.113,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,16:44:49,2.2825,65.048,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,17:36:53,1.1527,5.259,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,17:56:30,1.8298,28.809,"pcsv_var_abnormal, pcsv_not_fault, pcsv_on"
2024-10-02,18:02:43,10.9196,201.797,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,18:23:46,7.458,141.469,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,18:33:51,8.2354,168.49,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,19:41:27,20.5523,462.788,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,20:24:53,2.7371,60.969,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,20:54:48,5.6703,122.892,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-02,21:44:03,2.0705,45.149,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,05:33:15,3.7619,65.684,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,08:14:08,7.3315,90.827,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,09:47:55,3.2906,70.096,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,10:14:00,3.545,77.262,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,10:28:07,3.0981,69.795,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,12:26:45,5.9536,122.485,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,12:34:45,8.5542,196.9,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,13:08:37,3.902,86.464,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,13:14:13,2.7421,59.703,"plc_grid_breaker_opened, pcsv_off_grid_mode, pcsv_not_fault, pcsv_on"
2024-10-03,14:12:03,6.5709,125.202,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,14:47:21,3.4632,77.484,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,15:44:57,5.3611,119.187,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,15:51:57,2.3655,47.478,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,16:25:25,3.6457,83.497,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,18:34:22,4.2388,97.56,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-03,21:47:52,9.9381,206.109,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,00:25:25,3.4767,62.22,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,01:47:01,19.4335,211.776,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,02:45:22,4.9681,48.887,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,03:03:21,2.9402,35.229,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,03:07:53,17.0236,232.398,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,05:18:56,7.8582,151.309,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,05:29:56,3.4786,67.836,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,07:39:53,15.4265,348.024,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
2024-10-04,09:28:52,3.169,77.538,"plc_grid_breaker_opened, pcsv_not_fault, pcsv_on"
