Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-09-01,12:20:54,3.3082,2.049
2024-09-01,13:38:36,3.5236,3.011
2024-09-01,17:58:30,1.324,0.023
2024-09-01,23:11:05,2.5557,2.402
2024-09-01,23:47:46,2.0952,1.877
2024-09-02,02:05:35,3.04,2.886
2024-09-02,05:38:29,2.0915,8.827
2024-09-02,10:22:55,6.3776,160.067
2024-09-02,11:26:24,9.5822,255.355
2024-09-02,15:02:18,4.993,136.997
2024-09-02,16:01:55,3.9327,113.512
2024-09-03,14:24:45,2.6534,71.262
2024-09-03,14:31:54,8.9894,256.123
2024-09-03,14:57:52,2.0764,49.704
2024-09-03,15:01:36,7.9579,208.109
2024-09-03,16:18:54,5.4828,152.687
2024-09-03,18:06:45,2.7217,69.024
2024-09-03,18:58:03,4.8463,91.158
2024-09-03,19:07:39,3.6418,60.729
2024-09-03,20:08:05,1.0935,6.828
2024-09-04,10:01:16,2.4329,66.027
2024-09-04,11:17:20,33.6098,992.376
2024-09-04,17:31:02,8.9465,234.317
2024-09-05,12:26:34,187.9759,2264.21
2024-09-06,10:10:03,8.1205,197.629
2024-09-06,11:31:36,2.1046,44.348
2024-09-06,18:47:03,5.8668,154.129
2024-09-06,22:06:57,3.62,93.917
2024-09-07,03:22:00,6.0246,134.049
2024-09-07,05:01:27,2.8813,69.022
2024-09-07,05:43:43,5.4764,124.392
2024-09-07,12:54:50,4.7843,135.024
2024-09-07,14:47:02,1.8151,49.464
2024-09-07,18:55:10,5.7395,157.66
2024-09-08,13:31:27,2.6623,2.298
2024-09-08,13:35:45,244.4292,237.506
2024-09-09,00:50:09,3.4845,3.515
2024-09-09,05:15:55,1.787,8.289
2024-09-09,09:54:56,10.5827,297.521
2024-09-09,11:23:37,3.31,96.666
2024-09-09,13:12:45,4.1604,117.395
2024-09-09,15:55:11,6.2422,187.088
2024-09-09,18:23:19,3.5084,93.712
2024-09-09,20:04:29,1.4088,27.262
2024-09-09,22:32:30,3.2838,49.773
2024-09-10,00:19:57,2.6175,49.249
2024-09-10,02:36:32,3.2048,63.298
2024-09-10,02:54:26,2.7534,52.198
2024-09-10,03:37:33,4.9636,104.136
2024-09-10,04:04:06,5.3946,108.933
2024-09-10,04:12:28,5.0753,106.07
2024-09-10,04:23:06,6.3664,125.581
2024-09-10,11:27:21,5.6254,178.172
2024-09-10,12:53:30,6.4606,195.236
2024-09-10,13:04:39,2.0004,59.725
2024-09-10,13:13:45,8.3119,255.463
2024-09-10,14:11:15,8.7315,273.031
2024-09-10,16:57:06,2.0597,38.578
2024-09-10,17:00:50,10.3521,231.231
2024-09-10,17:34:17,2.4898,65.946
2024-09-10,18:51:41,2.197,51.142
2024-09-10,22:06:38,3.8331,89.264
2024-09-10,23:56:01,2.7859,58.65
2024-09-11,03:55:46,4.0466,79.608
2024-09-11,11:08:50,7.6261,233.549
2024-09-11,16:33:51,6.5768,192.42
2024-09-11,16:42:04,2.3481,61.967
2024-09-11,20:23:13,6.2586,164.103
2024-09-11,22:21:01,3.8358,91.039
2024-09-12,07:46:53,3.3499,78.85
2024-09-12,07:54:26,8.2694,200.883
2024-09-12,08:24:32,2.1701,55.152
2024-09-12,09:35:14,4.5523,132.869
2024-09-12,09:46:44,9.5817,279.445
2024-09-12,11:05:47,7.5954,206.713
2024-09-12,15:42:36,2.8198,73.089
2024-09-12,19:14:32,1.0481,4.07
2024-09-13,05:20:40,3.9541,90.661
2024-09-13,08:28:27,3.5246,91.748
2024-09-13,09:27:11,2.3832,69.003
2024-09-13,11:39:39,19.5144,331.18
2024-09-13,18:52:18,3.2402,95.592
2024-09-13,22:27:27,3.2742,81.436
2024-09-14,08:23:53,544.9232,6196.389
2024-09-14,17:30:01,60.824,361.183
2024-09-14,18:33:29,1.9258,10.904
2024-09-14,18:49:26,5.3184,36.749
2024-09-14,19:09:09,3.6435,34.37
2024-09-14,19:31:09,3.0136,39.642
2024-09-15,07:03:09,3.5564,43.18
2024-09-15,14:28:51,13.6037,219.903
2024-09-15,22:15:13,3.895,41.801
2024-09-16,02:59:39,4.4589,44.422
2024-09-16,10:53:16,3.3862,3.392
2024-09-16,12:01:29,23.923,11.462
2024-09-16,12:26:22,19.436,5.729
2024-09-16,12:46:45,120.4097,61.529
2024-09-16,14:48:06,13.6004,11.518
2024-09-16,15:02:39,9.8278,5.358
2024-09-16,15:35:56,32.7427,20.949
2024-09-16,16:09:38,23.4146,14.701
2024-09-16,16:34:00,13.197,8.048
2024-09-16,16:48:08,8.3554,3.882
2024-09-16,17:03:29,6.7388,1.305
2024-09-16,17:16:07,11.3839,9.131
2024-09-16,17:16:07,11.4054,9.131
2024-09-16,19:00:18,2.9919,2.417
2024-09-17,17:15:47,2.8366,83.577
2024-09-18,04:36:26,2.5157,62.15
2024-09-18,11:54:32,2.9728,89.288
2024-09-18,14:36:42,2.9462,90.667
2024-09-19,07:52:58,3.2676,95.495
2024-09-19,11:44:55,3.0458,89.561
2024-09-19,17:01:30,2.0054,56.222
2024-09-19,18:33:41,10.2817,201.32
