Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-07-01,15:34:59,63.8625,1274.53
2024-07-01,16:39:48,20.684,341.909
2024-07-01,20:05:44,1.2004,1.204
2024-07-01,21:12:26,3.2746,76.172
2024-07-02,14:02:05,5.4399,114.645
2024-07-03,05:46:10,3.1936,68.907
2024-07-04,11:12:44,1.3386,5.06
2024-07-04,11:25:12,15.0198,166.677
2024-07-05,19:01:56,6.5123,71.269,"plc_grid_breaker_opened, pcsv_not_fault"
2024-07-06,16:50:11,1.1899,0.412,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-06,20:02:26,5.8972,49.063,"plc_grid_breaker_opened, pcsv_not_fault"
2024-07-06,20:32:13,2.4377,27.978,"pcsv_var_abnormal, pcsv_not_fault"
2024-07-07,14:19:35,8.9029,8.527,utility_grid_off
2024-07-07,14:30:48,29.7507,23.984,"plc_grid_breaker_opened, pcsv_not_fault"
2024-07-07,17:12:02,5.9328,3.646,"plc_grid_breaker_opened, pcsv_not_fault"
2024-07-07,17:21:27,3.9543,2.83,utility_grid_off
2024-07-07,18:23:29,71.8665,34.097,"plc_grid_breaker_opened, pcsv_not_fault"
2024-07-07,19:51:37,3.8059,1.631,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-08,11:07:45,3.1856,76.175,"utility_grid_frequency_abnormal, pcsv_not_fault"
2024-07-08,11:27:36,5.7578,26.816,
2024-07-08,11:34:19,70.1316,1130.032,"plc_battery_breaker_closed, pcsv_on"
2024-07-08,20:04:15,51.7426,984.079,"utility_grid_frequency_abnormal, pcsv_not_fault"
2024-07-10,11:13:47,27.4859,505.97,
2024-07-10,11:42:12,59.4636,1178.809,"plc_battery_breaker_closed, pcsv_on"
2024-07-10,13:06:54,2.0286,24.94
2024-07-10,13:09:53,4.8885,116.865
2024-07-11,03:27:05,12.0148,132.198,"plc_grid_breaker_opened, utility_grid_off, pcsv_on, pcsv_not_fault"
2024-07-11,05:44:16,7.5196,126.655,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-11,08:02:40,2.0891,42.53,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-11,18:21:12,2.8845,42.89,"utility_grid_frequency_abnormal, pcsv_on, pcsv_not_fault"
2024-07-11,22:06:48,9.9201,265.889,"utility_grid_frequency_abnormal, pcsv_on, pcsv_not_fault"
2024-07-11,22:56:50,2.8348,51.41,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-12,09:09:29,7.6558,186.386,"utility_grid_frequency_abnormal, pcsv_on, pcsv_not_fault"
2024-07-12,09:54:39,8.3437,237.247,"utility_grid_frequency_abnormal, pcsv_on, pcsv_not_fault"
2024-07-12,20:28:07,4.4924,80.553,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-12,23:33:08,5.7843,111.127,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-13,02:28:00,2.4413,36.683,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-13,15:45:41,9.184,249.299,"plc_grid_breaker_opened, pcsv_on, pcsv_not_fault"
2024-07-13,16:08:50,7.5129,198.511,"utility_grid_frequency_abnormal, pcsv_on, pcsv_not_fault"
2024-07-14,05:03:58,4.5091,110.837,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-14,09:20:36,1.1901,0.199,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-14,09:35:26,2.1384,0.0,"utility_grid_off, pcsv_not_fault"
2024-07-14,09:40:48,4.579,14.9,"utility_grid_off, pcsv_not_fault"
2024-07-14,10:18:24,8.602,27.935,"plc_grid_breaker_opened, plc_battery_breaker_closed, pcsv_on"
2024-07-14,10:29:19,7.7117,17.629,"utility_grid_off, pcsv_not_fault"
2024-07-14,10:42:31,6.7518,1.666,"utility_grid_off, pcsv_not_fault"
2024-07-15,21:31:35,9.4541,250.134,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-15,22:57:59,3.4258,76.518,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-16,00:07:07,2.6398,55.47,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-16,03:14:47,2.174,51.542,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-16,09:15:40,5.8748,167.862,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-16,09:29:49,2.1222,42.259,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-17,10:12:02,1.9499,45.282,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-17,18:23:24,4.2542,116.773,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-18,00:04:38,3.3498,39.145,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-18,07:47:07,5.8152,161.009,"utility_grid_frequency_abnormal, pcsv_on, pcsv_not_fault"
2024-07-18,13:45:06,3.7393,63.478,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-18,14:14:05,2.5513,49.542,"utility_grid_off, pcsv_on, pcsv_not_fault"
2024-07-18,14:27:09,3.4488,77.466,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-18,14:51:02,4.4542,83.269,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-18,15:26:39,9.0849,150.558,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-18,16:29:28,2.9936,80.257,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
2024-07-18,16:46:05,2.3259,35.847,"pcsv_off_grid_mode, pcsv_on, pcsv_not_fault"
