Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-05-11,02:45:06,0.9161,0.711
2024-05-13,21:46:34,1.0517,0.387
2024-05-13,21:48:23,0.0239,0
2024-05-13,21:50:34,0.0236,0
2024-05-13,21:52:08,0.0247,0
2024-05-13,21:52:52,0.0239,0
2024-05-13,21:55:05,0.0198,0
2024-05-13,21:56:32,0.0234,0
2024-05-15,13:05:13,3.3166,0.0
2024-05-15,13:13:46,6.2468,0.0
2024-05-15,21:48:00,0.9118,0.88
2024-05-15,21:52:30,0.0249,0
2024-05-15,21:53:54,0.0198,0
2024-05-15,21:54:38,0.0218,0
2024-05-15,21:57:33,0.0228,0
2024-05-15,21:58:58,0.021,0
2024-05-15,22:01:04,0.0245,0
2024-05-15,22:01:44,0.0217,0
2024-05-15,22:03:11,0.0211,0
2024-05-15,22:03:52,0.0214,0
2024-05-15,22:06:04,0.0236,0
2024-05-17,21:14:16,7.2041,0.0
2024-05-17,21:22:27,4.9772,0.0
2024-05-17,23:58:53,3.2757,0.0
2024-05-18,00:14:23,15.7723,0.0
2024-05-18,00:31:07,11.9178,0.0
2024-05-18,00:43:58,0.9225,0.0
2024-05-18,00:45:43,0.0256,0
2024-05-18,00:49:52,0.0235,0
2024-05-18,00:53:56,0.0264,0
2024-05-18,00:54:44,0.0209,0
2024-05-18,01:14:17,8.5126,0.0
2024-05-18,01:26:10,0.0222,0
2024-05-18,01:27:51,0.0252,0
2024-05-18,01:29:30,0.0239,0
2024-05-18,01:31:12,0.0241,0
2024-05-19,12:08:40,7.8132,8.839
2024-05-19,12:17:22,0.0215,0
2024-05-19,12:18:16,0.0295,0
2024-05-19,13:57:20,12.5895,4.471
2024-05-19,14:20:01,8.7216,0.215
2024-05-20,17:20:37,12.6354,7.806
2024-05-20,18:37:56,2.5977,0.0
2024-05-20,18:53:16,3.2751,0.0
2024-05-21,14:08:04,27.3422,16.261
2024-05-21,17:45:14,0.9335,21.894
2024-05-21,18:16:43,0.9302,0.0
2024-05-21,18:25:35,0.0249,0
2024-05-21,18:53:12,6.8646,0.0
2024-05-22,17:38:15,37.1762,447.623
2024-05-22,18:25:42,0.9117,9.153
2024-05-22,18:56:00,5.2177,1.143
2024-05-22,19:10:44,9.8135,9.214
2024-05-23,16:17:34,29.4867,563.747
2024-05-23,18:16:02,12.2571,306.053
2024-05-23,18:38:41,0.9076,22.695
2024-05-23,18:48:47,0.0275,0
2024-05-23,18:50:02,0.9234,20.562
2024-05-23,19:00:49,0.9301,22.865
2024-05-24,12:45:11,0.9089,0.0
2024-05-24,16:38:44,6.7089,205.804
2024-05-24,17:55:12,3.6175,58.268
2024-05-24,18:09:53,0.9076,13.434
2024-05-24,18:18:40,2.1161,35.551
2024-05-26,13:39:32,0.9372,0.869
2024-05-26,13:59:16,0.9047,0.924
2024-05-26,15:40:57,10.4013,6.967
2024-05-26,16:03:50,17.1972,25.08
2024-05-26,16:21:58,48.9338,28.475
2024-05-26,17:11:51,71.858,24.48
2024-05-29,17:55:27,8.2248,185.033
2024-05-29,18:15:30,2.9257,63.95
2024-05-29,19:18:40,3.6984,85.455
2024-05-29,20:35:03,8.076,142.343
2024-05-29,20:44:05,18.1688,317.886
2024-05-30,17:03:17,0.9408,24.362
2024-05-30,17:15:17,0.9114,24.762
2024-05-31,13:54:02,0.9064,24.805
2024-05-31,13:58:51,0.9161,24.664
2024-05-31,14:06:02,0.92,25.192
2024-05-31,14:10:15,0.9221,25.346
2024-05-31,14:14:13,0.911,24.75
,,,
,,Total savings,2832.9189999999994
