Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-04-02,19:24:57,205.3386,703.758
2024-04-03,09:18:59,4.3323,23.695
2024-04-03,17:05:07,352.8442,935.417
2024-04-04,00:09:52,58.1609,7.226
2024-04-04,01:57:04,874.4856,399.863
2024-04-07,21:14:50,102.4719,400.36
2024-04-13,07:15:57,52.5414,136.936
2024-04-13,10:16:19,9.649,64.812
2024-04-13,14:37:45,234.1721,772.038
2024-04-14,05:51:55,72.2939,422.258
2024-04-14,08:42:03,687.0598,555.555
2024-04-15,13:28:17,21.8175,173.355
2024-04-15,19:23:14,3.5983,29.924
2024-04-18,06:42:11,59.7934,313.406
2024-04-18,15:10:16,91.6488,438.016
2024-04-18,19:22:58,2.0886,9.827
2024-04-19,19:52:55,2.7996,15.811
2024-04-20,13:40:25,225.5385,1355.764
2024-04-20,20:00:05,9.9347,51.879
2024-04-21,14:28:35,20.5396,13.916
2024-04-22,10:57:47,55.2141,277.271
2024-04-23,12:55:15,31.1763,230.388
2024-04-25,10:10:36,6.5679,27.615
2024-04-26,12:34:37,28.976,152.536
2024-04-29,01:02:04,75.0256,275.011
2024-04-29,08:10:34,10.5617,44.987
2024-04-29,18:08:21,40.0564,178.649
2024-04-30,08:56:53,52.2713,166.763
