Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-08-02,07:25:04,101.0902,684.416
2024-08-02,17:22:15,57.9056,380.65
2024-08-03,19:08:38,5.0698,37.193
2024-08-03,19:21:37,2.6123,14.047
2024-08-05,15:35:50,1.0371,6.69
2024-08-05,15:52:47,1.0706,6.253
2024-08-06,15:36:10,17.2633,153.203
2024-08-08,01:08:34,3.0604,14.473
2024-08-08,09:00:33,193.2347,1077.09
2024-08-08,21:13:18,4.2074,23.374
2024-08-08,21:18:35,91.7274,541.285
2024-08-08,22:51:23,3.0742,14.537
2024-08-08,22:55:29,3.0263,16.268
2024-08-08,22:59:36,3.0528,18.844
2024-08-08,23:03:43,3.0134,19.531
2024-08-08,23:07:51,3.0831,20.217
2024-08-08,23:11:57,3.0686,20.661
2024-08-08,23:16:06,3.0024,20.107
2024-08-08,23:20:11,3.0222,19.958
2024-08-08,23:24:18,2.9895,19.902
2024-08-08,23:28:23,3.0018,19.46
2024-08-08,23:33:59,3.0486,16.692
2024-08-09,03:45:14,2.9928,15.719
2024-08-09,06:06:37,9.8202,53.318
2024-08-09,08:43:40,3.0855,0.07
2024-08-09,09:24:21,1.0617,0.047
2024-08-09,16:04:52,55.344,269.925
2024-08-09,17:11:20,58.3301,201.014
2024-08-10,08:38:03,580.9968,1708.988
2024-08-10,18:36:28,5.1818,28.907
2024-08-10,20:15:11,36.3041,232.902
2024-08-12,00:26:41,45.4451,218.159
2024-08-14,10:03:02,13.5017,86.938
2024-08-15,16:23:48,91.8094,499.425
2024-08-16,23:26:33,5.2672,38.693
2024-08-16,23:47:13,6.4335,46.029
2024-08-17,08:45:37,550.5312,1253.103
2024-08-18,06:14:16,28.977,110.032
2024-08-18,10:13:43,47.8942,166.719
2024-08-18,16:13:34,9.587,35.752
2024-08-19,09:55:03,5.3516,20.811
2024-08-20,07:39:30,9.2426,39.944
2024-08-22,09:26:13,12.7237,86.858
2024-08-22,11:00:04,10.9497,63.249
2024-08-22,11:27:22,58.7468,389.185
2024-08-23,08:04:37,4.3492,25.647
2024-08-23,11:16:08,268.2276,1537.328
2024-08-27,16:01:10,57.2056,354.177
2024-08-29,07:29:18,89.1794,203.847
2024-08-30,11:43:55,6.2431,53.958
2024-08-30,17:23:27,7.1897,51.173
2024-08-30,17:38:03,6.9166,51.489
2024-08-30,21:31:09,4.2715,38.057
2024-08-30,21:46:30,26.3699,180.792
2024-08-31,08:38:51,10.6807,98.742
