Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2023-12-16,15:12:19,1.0182,0.015
2023-12-17,10:57:53,5.0,0.098
2023-12-17,13:04:35,89.4098,131.831
2023-12-19,08:27:19,204.1076,115.912
2023-12-19,13:25:42,49.5344,0.989
2023-12-21,08:52:59,5.0539,0.191
2023-12-21,09:02:09,1.0317,0.399
2023-12-21,10:14:48,3.3179,1.437
2023-12-21,10:22:13,1.0017,3.136
2023-12-21,12:17:00,30.5428,0.652
2023-12-21,12:48:27,193.6538,4.063
2023-12-21,21:36:03,15.2894,0.286
2023-12-21,21:52:13,825.6247,17.799
2023-12-22,12:00:19,1.13,0.024
2023-12-22,12:05:35,1.0485,0
2023-12-22,12:26:10,1.018,0
2023-12-22,12:41:41,1.0226,0
2023-12-22,12:46:52,1.0,0
2023-12-22,13:17:46,1.0329,0
2023-12-22,13:37:27,1.0007,0
2023-12-22,13:41:34,1.0209,0
2023-12-23,03:53:46,73.2783,5.606
2023-12-23,05:15:14,1.0076,0.057
2023-12-23,05:18:21,1.0027,0.1
2023-12-23,05:21:25,1.0588,0.074
2023-12-23,05:24:30,1.0122,0.057
2023-12-23,11:57:20,1.8234,0.01
2023-12-31,10:47:57,1.3101,0.082
2023-12-31,10:52:25,1.0073,0
2023-12-31,11:13:02,1.0113,0
