Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-02-02,19:43:23,1.0061,2.67
2024-02-03,04:30:51,1.0034,4.361
2024-02-03,04:34:59,1.0405,4.928
2024-02-03,04:39:06,1.0054,4.464
2024-02-03,04:43:14,1.0139,3.046
2024-02-03,04:47:22,1.0001,3.447
2024-02-03,04:55:40,1.0051,3.296
2024-02-03,04:59:50,1.0096,3.007
2024-02-03,05:18:24,1.0428,5.317
2024-02-03,05:23:36,1.0129,4.744
2024-02-03,05:28:46,1.011,4.952
2024-02-03,05:33:59,1.0284,3.608
2024-02-03,05:44:15,1.0284,3.025
2024-02-03,05:54:42,1.0033,3.294
2024-02-03,05:59:55,1.024,2.937
2024-02-03,06:10:13,1.02,4.564
2024-02-03,06:15:25,1.0574,4.929
2024-02-03,06:30:51,1.0018,3.523
2024-02-03,06:36:00,1.0278,3.278
2024-02-03,07:07:00,1.0009,4.877
2024-02-03,07:27:43,1.0225,3.491
2024-02-03,07:38:07,1.0056,0
2024-02-03,07:48:25,1.0214,0
2024-02-03,07:58:44,1.0272,0
2024-02-03,08:03:57,1.0216,0
2024-02-03,08:09:09,1.0049,0
2024-02-03,08:14:19,1.0065,0
2024-02-03,13:25:30,1.0729,0.116
2024-02-03,13:30:39,1.0414,0
2024-02-03,13:35:49,1.0528,0
2024-02-03,13:40:57,1.0125,0
2024-02-03,13:48:03,8.5533,0
2024-02-03,16:27:04,68.1275,1.662
2024-02-03,17:49:04,2.7282,0.069
2024-02-05,18:13:25,1.0107,2.908
2024-02-05,18:25:37,1.0135,3.104
2024-02-05,20:39:58,1.0045,2.83
2024-02-05,20:45:23,1.0178,3.042
2024-02-06,09:15:17,6.9231,13.389
2024-02-06,14:30:13,15.746,72.407
2024-02-06,15:18:41,3.9959,20.163
2024-02-06,15:26:49,88.5907,307.168
2024-02-07,09:32:48,4.5945,2.185
2024-02-07,19:40:09,14.907,76.972
2024-02-08,10:47:08,188.9993,381.854
2024-02-09,10:56:15,1.0016,0.043
2024-02-09,11:26:29,27.6136,7.041
2024-02-09,12:02:11,3.5153,0.417
2024-02-13,07:31:26,592.2871,397.751
2024-02-13,21:03:30,3.8133,11.932
2024-02-13,21:10:28,1.0622,2.8
2024-02-13,21:18:45,1.0225,4.568
2024-02-13,21:22:51,1.0236,4.957
2024-02-13,21:37:22,1.0169,3.803
2024-02-13,21:47:46,1.0115,2.926
2024-02-13,21:58:08,1.0024,3.979
2024-02-13,22:03:17,1.0054,4.186
2024-02-13,22:08:29,1.0192,4.252
2024-02-13,22:18:57,1.0179,2.965
2024-02-13,22:29:26,1.0348,3.241
2024-02-13,22:34:38,1.0054,3.952
2024-02-13,22:39:51,1.004,3.576
2024-02-13,22:45:06,1.0231,4.539
2024-02-13,22:57:52,1.0008,3.533
2024-02-13,23:03:05,1.0009,3.523
2024-02-13,23:26:04,1.0065,3.216
2024-02-13,23:31:14,1.0717,4.338
2024-02-13,23:46:51,1.0102,2.684
2024-02-13,23:52:03,1.0022,2.996
2024-02-13,23:57:14,1.025,2.74
2024-02-14,00:02:25,1.0311,2.796
2024-02-14,00:12:53,1.0207,4.28
2024-02-14,00:33:37,1.0277,2.597
2024-02-14,00:38:49,1.0233,2.843
2024-02-14,00:44:00,1.0447,0
2024-02-14,00:54:23,1.0069,0
2024-02-14,00:59:33,1.0188,0
2024-02-14,01:04:44,1.041,0
2024-02-14,01:15:02,1.0021,0
2024-02-14,01:20:12,1.0004,0
2024-02-14,01:25:22,1.0151,0
2024-02-14,01:30:33,1.0018,0
2024-02-14,01:35:43,1.0116,0
2024-02-14,01:40:57,1.0198,0
2024-02-14,01:51:21,1.0178,0
2024-02-14,07:34:22,1.0031,0.089
2024-02-14,07:36:42,1.0521,0.037
2024-02-14,08:09:36,1.0875,0.119
2024-02-14,08:59:08,1.0448,0.021
2024-02-14,09:04:48,1.0892,1.247
2024-02-14,11:53:26,1.0556,0.037
2024-02-14,11:56:19,1.0327,0.057
2024-02-14,12:03:47,20.8243,0.726
2024-02-14,13:24:07,1.0249,0.018
2024-02-14,13:30:28,1.0049,0.044
2024-02-14,13:33:10,1.018,0.039
2024-02-14,13:38:53,165.7343,4.626
2024-02-14,18:09:45,1.0432,0.031
2024-02-14,18:20:51,1.0321,0.023
2024-02-15,12:19:12,1405.176,507.454
2024-02-16,13:05:46,1.002,0.532
2024-02-16,13:10:49,1.0053,0.533
2024-02-16,15:20:56,2.7692,3.522
2024-02-18,06:51:17,2.7837,6.938
2024-02-19,13:36:54,10.3911,16.653
2024-02-19,16:58:34,1.0977,1.914
2024-02-20,09:32:18,14.7112,12.964
2024-02-20,09:59:26,1.013,2.565
2024-02-20,14:34:05,1.5063,3.223
2024-02-20,14:38:37,1.8442,5.015
2024-02-20,15:23:14,1.0026,3.706
2024-02-20,20:07:22,4.4964,18.817
2024-02-21,09:11:10,1.0024,1.371
2024-02-21,10:44:25,1.0512,2.199
2024-02-22,08:39:10,43.3527,39.111
2024-02-22,09:23:18,2.1663,0.295
2024-02-22,09:26:58,6.344,0.563
2024-02-22,09:34:04,4.4831,0.578
2024-02-22,09:39:21,325.8517,32.415
2024-02-22,15:19:43,38.4979,28.539
2024-02-22,15:58:56,53.4612,67.679
2024-02-22,16:53:14,3.9738,2.636
2024-02-22,16:58:01,12.0867,8.058
2024-02-22,19:28:52,3.8368,18.008
2024-02-22,23:04:58,1.0292,2.599
2024-02-25,13:18:41,76.6284,14.849
2024-02-26,13:10:17,62.7373,8.836
2024-02-28,15:59:43,18.1889,47.939
2024-02-29,11:22:18,1.0076,1.669
2024-02-29,11:42:51,1.0331,4.731
