Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-01-02,15:03:54,33.3181,0.65
2024-01-02,15:58:13,1.5237,0.512
2024-01-02,17:11:07,64.4418,50.803
2024-01-02,18:18:06,1.0037,1.139
2024-01-03,02:00:17,1.2704,1.993
2024-01-03,02:08:44,1.0117,1.641
2024-01-03,02:12:53,1.019,2.281
2024-01-03,02:25:14,1.0163,3.224
2024-01-03,02:29:23,1.0124,3.307
2024-01-03,02:37:41,1.0234,1.805
2024-01-03,02:41:47,1.0173,1.525
2024-01-03,02:58:18,1.0847,1.89
2024-01-03,03:02:25,1.0207,1.965
2024-01-03,03:06:32,1.0401,1.833
2024-01-03,08:25:06,201.3032,0
2024-01-03,13:02:53,1.0047,0.008
2024-01-03,13:07:01,1.046,0
2024-01-03,13:11:09,1.0069,0
2024-01-04,08:35:12,2900.0445,63.018
2024-01-06,16:33:04,1.0061,0.917
2024-01-06,16:37:59,1.0051,0.558
2024-01-06,16:44:04,22.9246,39.343
2024-01-08,16:04:39,1.8042,0.75
2024-01-09,08:03:05,1.0019,2.262
2024-01-09,08:07:12,1.0723,1.959
2024-01-10,16:22:46,24.7287,76.19
2024-01-10,16:50:37,1.0296,1.926
2024-01-12,07:21:51,1.0152,2.802
2024-01-12,12:21:25,1.2875,4.637
2024-01-12,12:28:56,1.0007,3.646
2024-01-12,12:33:04,1.0024,4.33
2024-01-13,19:59:12,3.2178,13.134
2024-01-13,20:04:29,1.0754,3.978
2024-01-14,09:36:47,3.4905,5.651
2024-01-14,09:42:19,1.028,2.37
2024-01-14,16:54:51,158.9529,33.904
2024-01-16,10:31:42,258.6523,136.232
2024-01-16,14:51:13,41.141,54.545
2024-01-16,15:33:11,45.1455,116.853
2024-01-17,12:30:22,123.8389,306.38
2024-01-18,18:19:26,2326.6713,52.618
2024-01-20,11:16:09,5.1116,4.021
2024-01-20,12:59:14,71.4043,11.258
2024-01-20,14:17:54,1.0005,0.533
2024-01-20,14:27:17,15.0888,16.704
2024-01-20,14:43:15,3.4145,2.292
2024-01-20,14:47:33,5389.5008,121.21
2024-01-24,08:51:34,1.0084,4.956
2024-01-24,08:56:42,1.0161,5.107
2024-01-24,09:06:58,1.0202,5.063
2024-01-24,09:17:21,1.0017,2.366
2024-01-24,09:26:54,33.9058,0.745
2024-01-24,10:02:32,174.0894,3.842
2024-01-26,08:30:13,1.0174,0.348
2024-01-26,09:52:49,232.5105,0.024
2024-01-26,13:47:02,27.5026,0.076
2024-01-26,14:18:42,1.0565,0
2024-01-26,14:45:49,16.0725,0
2024-01-26,16:34:02,34.9587,89.168
2024-01-27,20:31:06,1.0029,2.345
2024-01-28,18:06:11,40.6134,60.729
2024-01-29,03:53:07,1.0226,1.267
2024-01-30,00:37:36,1.0629,4.73
2024-01-30,00:40:41,1.0171,4.339
2024-01-30,10:52:00,11.9012,14.713
2024-01-31,19:36:23,10.7365,58.409
