Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-07-04,07:38:07,2.8933,15.547
2024-07-04,16:29:30,67.8658,349.845
2024-07-04,18:15:18,16.8566,145.649
2024-07-04,23:57:01,2.1845,11.682
2024-07-05,08:08:55,472.2976,1774.747
2024-07-05,20:12:34,9.6625,83.886
2024-07-07,18:24:55,18.3655,164.888
2024-07-08,11:46:51,9.0479,106.571
2024-07-08,12:07:00,38.0237,399.495
2024-07-08,15:49:52,95.1033,812.624
2024-07-10,07:20:36,14.2574,137.638
2024-07-10,11:46:24,15.8645,137.28
2024-07-11,19:30:53,27.4098,287.382
2024-07-15,03:36:06,2.5207,33.969
2024-07-15,17:59:58,13.2707,57.65
2024-07-15,03:06:22,910.2312,0.357
2024-07-16,16:16:57,282.3295,1019.001
2024-07-17,02:10:53,8.1358,62.329
2024-07-18,07:45:24,5.5459,21.371
2024-07-18,19:33:28,4.5459,32.483
2024-07-21,00:46:30,2.4871,23.439
2024-07-21,08:11:59,34.1888,232.97
2024-07-21,10:29:46,28.2757,220.16
2024-07-21,15:31:27,346.1236,825.181
2024-07-22,02:57:32,6.9908,65.751
2024-07-22,12:20:44,7.341,78.416
2024-07-22,13:05:29,93.7749,379.292
2024-07-23,10:48:13,22.044,149.242
2024-07-25,06:41:06,5.2033,35.464
2024-07-31,17:14:10,65.1416,299.293
