Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-06-01,01:49:06,4.1576,38.527
2024-06-01,20:11:08,94.6198,572.87
2024-06-02,15:38:52,49.6994,384.987
2024-06-03,15:46:31,16.1316,127.062
2024-06-04,11:12:06,17.1808,109.95
2024-06-05,01:04:28,5.3176,41.631
2024-06-05,01:19:52,2.7342,23.805
2024-06-05,12:34:13,3.4146,33.685
2024-06-05,12:41:07,61.9047,546.748
2024-06-05,13:59:24,14.4051,121.639
2024-06-05,17:42:18,4.6678,41.247
2024-06-06,21:36:17,8.3196,72.869
2024-06-07,11:58:03,45.5769,408.85
2024-06-07,23:49:15,3.8519,33.559
2024-06-10,15:46:42,168.4305,1391.083
2024-06-11,10:58:40,11.5176,108.917
2024-06-14,01:48:32,3.0953,31.611
2024-06-15,12:37:50,4.5482,41.49
2024-06-17,08:29:01,2.7103,17.447
2024-06-19,10:10:43,87.265,1027.653
2024-06-19,18:20:13,5.3795,55.992
2024-06-21,11:26:40,105.0669,1296.42
2024-06-21,15:57:33,256.4221,1323.529
2024-06-23,20:42:41,15.3324,178.452
2024-06-25,19:42:38,7.5232,57.28
2024-06-26,13:51:09,42.5613,545.681
2024-06-27,19:39:50,74.168,572.679
2024-06-28,00:43:07,16.1569,147.789
2024-06-28,04:23:29,42.6406,358.708
2024-06-29,08:23:04,33.1233,151.704
