Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-03-02,15:17:23,38.654,211.876
2024-03-02,16:02:26,28.6634,59.088
2024-03-03,15:48:16,4.1771,0.811
2024-03-03,17:57:29,2.9221,0
2024-03-05,15:19:34,11.7121,5.932
2024-03-08,06:50:24,1.9444,14.841
2024-03-08,09:58:50,583.1226,789.923
2024-03-08,19:50:21,130.5055,68.219
2024-03-09,19:37:21,20.5778,39.201
2024-03-10,01:35:06,121.8428,234.313
2024-03-10,06:03:20,326.6041,194.828
2024-03-13,01:04:46,1.0022,5.778
2024-03-15,08:26:21,24.776,47.761
2024-03-15,12:20:20,7.4475,0.063
2024-03-15,20:14:22,1.1978,8.189
2024-03-16,06:25:00,1.0249,3.365
2024-03-16,06:30:19,686.0666,914.799
2024-03-16,18:11:29,1.0033,0.04
2024-03-17,04:44:04,2.5764,14.685
2024-03-18,09:00:39,1.6859,0.679
2024-03-18,11:35:47,5.1195,9.132
2024-03-18,15:30:41,2.4624,-0.016
2024-03-19,11:49:17,11.8873,5.329
2024-03-19,15:24:02,13.1743,80.343
2024-03-19,15:41:31,50.4174,279.198
2024-03-20,03:53:06,1.6922,9.161
2024-03-20,08:15:07,491.6576,754.441
2024-03-20,16:39:10,4.6865,0.866
2024-03-20,16:44:42,20.5399,7.241
2024-03-20,17:06:11,4.6953,3.707
2024-03-20,17:19:21,1.0152,4.791
2024-03-20,17:47:42,1.0133,0.945
2024-03-20,17:57:02,1.0168,1.599
2024-03-22,07:50:00,140.5945,917.662
2024-03-22,10:11:32,12.7752,89.333
2024-03-23,09:55:54,6.0863,4.598
2024-03-23,11:09:52,2.0378,0.067
2024-03-24,12:19:20,24.054,1.87
2024-03-25,10:39:54,2.991,16.077
2024-03-25,10:58:41,223.8829,1177.381
2024-03-25,14:56:04,2.0734,12.813
2024-03-25,19:29:59,2.2321,12.787
2024-03-25,20:24:17,21.0454,146.697
2024-03-26,16:07:06,4.9531,25.005
2024-03-27,05:36:11,7.9684,49.608
2024-03-27,06:35:08,6.3944,25.698
2024-03-27,06:51:45,2.9858,16.627
2024-03-27,07:00:42,45.402,226.235
2024-03-27,08:48:04,2.9306,18.905
2024-03-27,08:56:27,12.5365,70.512
2024-03-27,09:17:20,173.2261,683.046
2024-03-29,01:45:39,2.8403,12.936
2024-03-29,07:47:19,44.0177,193.122
2024-03-29,08:35:39,570.0045,2133.114
2024-03-30,18:33:57,2.2845,0.157
