Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-11-01,06:28:36,22.385,163.308
2024-11-01,07:22:41,43.0466,151.918
2024-11-01,19:45:54,39.4813,214.422
2024-11-01,20:28:50,10.2316,22.552
2024-11-02,03:35:46,528.2334,1387.007
2024-11-02,22:39:42,53.7232,248.403
2024-11-03,16:13:50,15.4978,103.79
2024-11-03,17:08:15,16.4001,85.785
2024-11-04,08:35:21,57.9486,207.093
2024-11-08,08:41:25,10.2155,95.773
2024-11-09,06:11:51,8.1666,50.301
2024-11-10,10:41:23,11.0199,103.769
2024-11-10,10:53:24,11.0101,103.373
2024-11-10,11:05:25,10.9995,99.0
2024-11-10,11:17:25,7.546,47.374
2024-11-10,11:25:53,11.0069,105.039
2024-11-10,11:37:54,10.9961,108.237
2024-11-10,11:49:54,11.0157,103.578
2024-11-10,12:01:55,10.9977,101.37
2024-11-10,12:13:55,11.0155,76.036
2024-11-10,22:16:00,3.1276,26.93
2024-11-10,22:22:00,3.0189,29.772
2024-11-10,22:30:46,1.0637,0.687
2024-11-11,17:34:31,113.9411,317.99
2024-11-11,20:18:10,388.1461,596.177
2024-11-12,09:22:00,107.9323,191.21
2024-11-12,16:47:35,25.9537,120.128
2024-11-12,17:48:00,120.9027,341.563
2024-11-12,21:08:16,10.3467,43.092
2024-11-14,19:19:23,15.5383,182.984
2024-11-14,22:31:36,5.048,55.908
2024-11-15,07:52:13,4.1965,27.529
2024-11-15,19:08:15,1.0546,9.471
