Date,Time Initiated,Time Elapsed (minutes),Energy Saving (kWh)
2024-09-02,11:58:35,12.1433,71.687
2024-09-02,23:05:36,11.6104,91.028
2024-09-03,15:51:22,401.3714,731.373
2024-09-04,15:22:04,23.6775,132.404
2024-09-06,09:00:00,5.6673,26.675
2024-09-06,09:16:49,23.7773,100.333
2024-09-06,03:04:18,430.9131,0.779
2024-09-06,11:08:40,10.9774,62.057
2024-09-07,13:08:37,12.3394,63.755
2024-09-08,07:14:32,17.2847,59.262
2024-09-09,06:08:50,18.2134,129.946
2024-09-09,06:45:01,6.2294,28.551
2024-09-09,06:54:47,15.8373,78.737
2024-09-11,15:32:23,8.1862,76.18
2024-09-13,15:15:51,8.4621,71.136
2024-09-13,17:36:43,10.1338,58.408
2024-09-13,19:14:32,22.3786,84.722
2024-09-13,20:09:57,6.1839,30.957
2024-09-14,16:18:59,5.0619,41.181
2024-09-14,19:00:32,5.0037,37.535
2024-09-15,23:10:19,11.1044,97.057
2024-09-15,23:29:23,11.3043,97.738
2024-09-16,14:35:01,9.6688,65.783
2024-09-16,18:28:27,12.1354,104.217
2024-09-16,19:08:49,33.8831,257.762
2024-09-16,19:57:48,77.0588,64.623
2024-09-16,21:48:28,17.6517,32.209
2024-09-17,16:30:43,20.0554,74.857
2024-09-20,13:51:23,155.6297,927.656
2024-09-22,07:35:00,6.546,43.732
2024-09-23,03:51:41,7.1571,71.897
2024-09-23,09:07:31,7.4403,64.147
2024-09-23,11:09:46,53.0658,284.95
2024-09-24,06:31:52,6.9479,66.806
2024-09-25,12:12:16,1.3688,9.96
2024-09-25,12:21:19,13.735,110.626
2024-09-25,13:43:31,1.2477,12.063
2024-09-25,14:19:35,110.1136,955.303
2024-09-27,08:37:15,262.4517,1346.543
2024-09-28,08:37:49,1025.1057,4163.174
2024-09-29,10:38:49,43.6048,382.99
2024-09-29,11:28:01,22.0397,198.217
